year,region,citizenship,immigration,population,immigration_ratio,citizenship_ratio
2009,Schaffhausen,470,1116,17012,0.06560075241006348,0.027627557018575125
2009,Schwyz,593,1423,25675,0.05542356377799416,0.023096397273612464
2009,Solothurn,982,2166,48321,0.04482523126590923,0.02032242710208812
2009,St. Gallen,1895,6269,101181,0.06195827279825264,0.018728812721756062
2009,Switzerland,43440,138269,1669715,0.08280994061860857,0.02601641597518139
2009,Thurgau,887,3256,49869,0.06529106258397001,0.01778660089434318
2009,Ticino,2189,5633,84462,0.06669271388316639,0.02591698041722905
2009,Uri,80,362,3217,0.11252719925396332,0.024867889337892447
2009,Valais,1211,6036,60557,0.09967468665885033,0.019997688128540053
2009,Vaud,5923,20365,205928,0.09889378812011965,0.02876248009012859
2009,Zug,513,2294,25287,0.09071855103412821,0.020287104045557006
2009,Zürich,11551,27091,313545,0.08640227080642332,0.036840007016536704
